iter	Passed	Remaining
0	557	55187
1	1173	57493
2	1702	55039
3	2176	52244
4	2856	54269
5	3374	52870
6	3964	52668
7	4901	56362
8	5474	55354
9	5872	52848
10	6254	50602
11	6629	48613
12	7003	46872
13	7383	45357
14	7762	43986
15	8145	42762
16	8535	41672
17	8915	40615
18	9287	39594
19	9665	38661
20	10040	37772
21	10417	36936
22	10886	36444
23	11484	36366
24	12022	36066
25	12419	35348
26	12802	34614
27	13182	33898
28	13568	33219
29	13955	32563
30	14353	31948
31	14730	31302
32	15115	30689
33	15503	30094
34	15906	29540
35	16285	28951
36	16669	28382
37	17047	27814
38	17423	27252
39	17806	26710
40	18182	26165
41	18561	25633
42	18951	25122
43	19332	24604
44	19710	24090
45	20085	23578
46	20468	23081
47	20860	22599
48	21238	22105
49	21628	21628
50	22003	21140
51	22384	20662
52	22844	20258
53	23221	19781
54	23603	19311
55	23986	18846
56	24360	18377
57	24737	17913
58	25111	17450
59	25638	17092
60	26013	16631
61	26389	16174
62	26772	15723
63	27146	15269
64	27519	14818
65	27906	14376
66	28284	13931
67	28666	13490
68	29037	13045
69	29416	12607
70	29801	12172
71	30177	11735
72	30555	11301
73	30945	10872
74	31330	10443
75	31708	10013
76	32085	9584
77	32468	9157
78	32857	8734
79	33230	8307
80	33612	7884
81	33991	7461
82	34361	7037
83	34749	6618
84	35151	6203
85	35529	5783
86	35918	5367
87	36287	4948
88	36678	4533
89	37055	4117
90	37438	3702
91	37830	3289
92	38206	2875
93	38586	2462
94	38969	2051
95	39347	1639
96	39722	1228
97	40265	821
98	40742	411
99	41164	0
